transaction_id,transaction_amount,login_attempts,device_risk_score,transfer_frequency,anomaly_score,account_age_days,transaction_time_hour,failed_transactions_last_30d,avg_monthly_balance,daily_transaction_count,geo_distance_km,session_duration_minutes,transaction_velocity_score,payment_channel,authentication_type,card_present_flag,international_transaction_flag,suspicious_ip_flag,fraud_flag
1008777,17031.69,4.0,41.9,49,0.41,2075,7,17,338209.47,91,11052.0,82.0,64.9,Mobile App,Biometric,0,0,0,False
1002200,23155.01,6.0,26.2,50,0.09,375,3,17,286942.04,38,11470.0,7.0,44.3,ATM,Two-Factor Authentication,0,1,1,False
1009597,8743.47,12.0,94.5,63,0.22,3489,11,10,453971.25,76,3583.0,67.0,38.2,MOBILE APP,OTP,0,1,1,False
1008491,15996.36,5.0,87.1,33,0.7,3389,19,25,9654.16,83,3345.0,50.0,29.1,Mobile App,Two-Factor Authentication,0,1,1,True
1003315,11327.58,3.0,62.1,3,0.18,3438,17,18,163705.41,74,3883.0,56.0,45.8,ATM,OTP,1,1,1,False
1003890,23546.76,12.0,70.0,79,0.32,2404,1,2,190080.93,19,5206.0,63.0,95.8,POS Terminal,OTP,0,0,1,False
1003750,23084.98,9.0,100.0,48,0.22,216,0,18,316016.51,73,7594.0,65.0,33.8,Web Banking,Two-Factor Authentication,1,0,0,False
1000705,11733.72,2.0,0.0,62,0.19,4725,7,5,445693.49,59,14862.0,93.0,71.5,POS Terminal,Two-Factor Authentication,0,0,1,False
1002255,556.74,8.0,81.5,67,0.4,2279,5,3,52111.45,16,6867.0,42.0,64.5,Mobile App,Two-Factor Authentication,0,1,0,False
1009604,3515.52,10.0,86.8,80,0.82,4221,22,10,248185.77,76,13902.0,12.0,46.9,Mobile App,OTP,0,1,0,True
1007830,3608.8,8.0,100.0,79,0.17,1239,10,10,332418.71,46,126.0,85.0,14.3,Mobile App,OTP,1,0,0,False
1006831,15908.43,8.0,67.2,25,0.65,110,2,10,17577.43,20,355.0,33.0,57.7,Mobile App,OTP,1,0,1,False
1009481,15745.9,8.0,2.9,67,0.82,1185,0,10,214250.3,66,1441.0,110.0,74.7,Mobile App,Password Only,1,0,0,True
1006905,9708.42,8.0,59.9,8,0.74,1784,11,3,206845.28,39,14876.0,11.0,91.5,Web Banking,Biometric,0,1,0,True
1005823,10684.78,4.0,99.6,15,0.1,1483,16,7,451876.88,117,12235.0,91.0,89.0,Web Banking,Two-Factor Authentication,0,1,Yes,False
1006349,13884.68,12.0,0.0,49,0.79,318,16,14,37010.68,115,10842.0,81.0,32.9,Web Banking,Password Only,0,1,0,True
1003024,16527.01,7.0,16.1,21,0.99,178,14,19,470111.31,16,12432.0,111.0,53.2,Mobile App,OTP,1,1,1,True
1000081,4028.75,1.0,72.0,4,0.35,3804,17,21,68224.77,3,4954.0,45.0,77.6,POS Terminal,OTP,1,1,0,False
1007906,22940.37,3.0,100.0,45,0.33,3932,17,24,445184.06,101,2833.0,85.0,78.8,Web Banking,OTP,1,1,1,False
1004848,6001.4,10.0,88.1,42,0.98,1128,12,5,290194.83,120,12882.0,44.0,16.9,Mobile App,Password Only,1,0,1,True
1007397,9083.56,6.0,0.0,23,0.01,734,3,20,95222.48,57,14021.0,28.0,66.1,Web Banking,  Biometric  ,1,0,0,False
1006609,8952.85,9.0,33.5,78,0.3,2553,21,7,366685.08,19,9355.0,7.0,31.9,Mobile App,Two-Factor Authentication,1,0,1,False
1006381,6266.25,11.0,96.9,36,0.09,3047,8,7,241374.53,37,7673.0,18.0,17.2,ATM,OTP,0,0,1,False
1005029,4895.37,3.0,99.1,23,0.04,2289,18,1,263257.99,66,11948.0,104.0,101.0,Web Banking,Password Only,0,0,1,False
1001157,2067.78,5.0,77.0,23,0.29,907,9,17,279345.66,15,9123.0,48.0,30.2,Mobile App,OTP,1,1,0,False
1001671,1576.68,9.0,22.9,68,0.28,3690,1,10,312500.43,64,2233.0,87.0,78.4,Mobile App,OTP,1,1,0,False
1003380,10119.15,3.0,66.1,65,0.13,1339,4,12,310844.1,41,3633.0,106.0,27.9,Mobile App,Two-Factor Authentication,0,1,0,False
1005121,12672.12,3.0,18.9,24,0.2,3662,9,0,413537.24,78,6605.0,77.0,41.5,Web Banking,OTP,0,1,0,False
1003439,15686.04,7.0,15.4,66,0.52,4226,18,2,92455.37,84,2791.0,62.0,11.6,Mobile App,Two-Factor Authentication,1,0,1,False
1005649,9160.65,11.0,3.2,23,0.56,4549,3,9,305592.36,34,11377.0,83.0,21.9,Mobile App,  OTP  ,1,1,0,False
1001442,20661.64,11.0,94.2,74,0.82,91,6,22,205116.82,104,3007.0,91.0,18.7,POS Terminal,Password Only,0,1,1,False
1006829,7809.71,11.0,13.4,40,0.39,3390,8,6,160555.98,86,3623.0,74.0,66.0,Mobile App,Password Only,1,0,0,False
1009575,7002.72,6.0,12.4,58,0.01,1356,20,13,456791.28,110,11671.0,21.0,61.6,Web Banking,Two-Factor Authentication,1,1,1,False
1006974,3372.08,11.0,16.6,23,0.52,168,4,15,28192.71,27,8141.0,49.0,52.7,POS Terminal,Two-Factor Authentication,0,0,0,False
1006665,17522.72,10.0,24.2,16,0.4,3633,16,11,433098.07,22,8084.0,89.0,50.1,Web Banking,OTP,1,1,0,False
1007132,1036.56,4.0,17.1,80,0.06,1950,14,16,382413.76,23,8205.0,120.0,24.6,Web Banking,Biometric,1,0,0,False
1005580,14377.35,11.0,7.4,28,0.19,551,14,13,460428.85,101,5183.0,17.0,12.1,POS Terminal,OTP,0,1,0,False
1004181,1990.87,7.0,4.0,44,0.31,3020,19,20,310868.23,101,10774.0,28.0,30.1,Web Banking,Biometric,0,1,0,False
1006596,15034.21,11.0,89.1,28,0.27,1250,2,6,346399.78,69,11306.0,28.0,42.4,Mobile App,Password Only,0,0,0,False
1003308,8748.22,6.0,93.7,9,0.7,2464,15,7,486847.77,77,1224.0,118.0,99.7,Mobile App,Two-Factor Authentication,0,1,0,True
1009182,15840.86,2.0,59.9,33,0.29,3479,16,23,261315.12,79,12858.0,105.0,64.6,Mobile App,Two-Factor Authentication,1,1,0,False
1009314,908.01,4.0,26.6,54,0.58,2113,1,22,235595.84,20,14521.0,86.0,34.3,ATM,Password Only,0,1,1,False
1000305,19455.48,6.0,4.5,68,0.11,870,23,4,192867.49,88,5462.0,36.0,60.2,Web Banking,Two-Factor Authentication,0,1,1,False
1000961,8870.82,11.0,8.5,15,0.49,4885,22,12,333524.51,23,10672.0,77.0,79.0,Web Banking,Two-Factor Authentication,0,0,1,False
